playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
3DoublesPlayer,10,7,3112,2648,1810,1628,1628,2292,1904,1542,2750,2972,1597,2737,3217,2012,1440,1438,1119,579,298,114,,,7000
7DoublesPlayer,10,7,3203,2542,294,227,270,2072,1067,396,1131,2832,226,2419,3327,575,526,1226,1823,1209,1135,506,,,7000
AdversarialLeader,10,7,3227,2748,765,642,695,2240,1383,773,1408,3152,653,2196,3217,719,821,1479,1868,1131,898,84,,,7000
1/2PlayersPlayer,10,7,3135,2802,1134,1097,1080,2597,1895,1229,1962,3132,1064,2705,3121,969,1080,1796,2399,627,104,25,,,7000
OpTwoPlayer,10,8,3710,2645,328,250,257,2715,1217,416,1370,4099,260,3278,4407,312,359,1063,1664,1200,1815,1413,174,,8000
LastBankingPlayer,10,8,4407,2685,314,245,245,2678,1302,428,1352,4139,272,3295,3842,302,384,1064,1718,1226,1785,1346,175,,8000
200PotPlayer,10,8,4229,2973,3162,2775,2796,2566,2849,3646,2529,4045,2489,3744,4052,2514,1644,1418,1065,679,410,186,84,,8000
1000PotPlayer,10,8,4279,3345,1732,1817,1694,3864,2333,1872,2656,3939,1829,3651,4371,2136,1015,1262,1378,801,818,479,111,,8000
7RollsPlayer,10,8,4085,2798,3071,2464,2584,2554,2627,1840,2186,3996,3802,3572,4129,2145,1612,1288,1210,803,529,274,139,,8000
14RollsPlayer,10,8,4082,3320,2040,1881,1764,3002,3784,1733,2518,4049,1811,3571,4135,1679,1330,1600,1423,917,594,326,131,,8000
1/3RandomPlayer,10,8,4220,2520,2945,1920,2532,2484,2515,1573,2118,3980,1825,3474,4127,1595,1497,1337,1107,1026,744,407,287,,8000
1/6RandomPlayer,10,8,4169,2529,2831,1916,1862,2569,2526,1665,2193,4058,1706,3593,4044,1399,1437,1515,1149,1086,725,367,322,,8000
1/12RandomPlayer,10,8,4070,2546,1865,1420,1610,2768,2287,1344,2094,4002,1300,3470,4084,1048,1207,1411,1354,1154,943,463,420,,8000
3DoublesPlayer,10,8,4172,3304,2346,2203,2184,3139,2508,2145,3804,3940,2130,3698,4178,2037,1455,1572,1332,748,545,240,71,,8000
7DoublesPlayer,10,8,4339,2793,354,335,321,2764,1309,499,1476,3842,331,3391,4372,572,409,1038,1669,1150,1608,1136,418,,8000
AdversarialLeader,10,8,4187,3059,943,762,807,2867,1602,887,1818,4216,768,3130,4286,641,659,1255,1755,1263,1472,863,92,,8000
1/2PlayersPlayer,10,8,4100,3610,2010,1817,1776,3405,2877,1916,3014,4222,1873,3806,4098,1228,1265,1857,2523,813,224,74,16,,8000
OpTwoPlayer,10,9,5180,3992,354,224,220,3313,1553,472,1701,5230,228,4437,5620,241,354,744,1467,2005,1308,1622,1131,128,9000
LastBankingPlayer,10,9,5620,3984,353,252,245,3345,1550,437,1701,5201,235,4332,5036,248,343,747,1374,2077,1294,1598,1168,151,9000
200PotPlayer,10,9,5238,4001,3926,3487,3554,3259,3652,4958,3268,5155,3070,4837,5283,2414,1773,1654,1249,855,534,318,138,65,9000
1000PotPlayer,10,9,5378,4701,2239,2356,2232,4992,3037,2450,3450,5105,2344,4614,5472,2270,1032,1117,1336,1441,733,649,343,79,9000
7RollsPlayer,10,9,5388,3760,3996,3263,3348,3332,3316,2552,2884,5208,4838,4818,5304,2181,1787,1558,1219,884,663,445,192,71,9000
